wall_time,t_s,target_x_mm,target_y_mm,cam_x_mm,cam_y_mm,heading_deg,heading_source,dist_err_cm,heading_err_deg,cmd_throttle,cmd_steering,applied_throttle,applied_steering,servo_deg_calc,motor_pwm_calc,encoder_count,state,mode,control_seq
23:35:20.306,142.913,,,110,187,93.7,FRONT_CUSHION,,,,,,,,,,READY,WAYPOINT_AUTO,
23:35:20.411,143.018,,,110,187,93.7,LAST_VALID,,,,,,,,,,READY,WAYPOINT_AUTO,
23:35:20.516,143.123,,,110,188,93.7,LAST_VALID,,,,,,,,,,READY,WAYPOINT_AUTO,
23:35:20.617,143.225,,,110,187,93.7,LAST_VALID,,,,,,,,,,READY,WAYPOINT_AUTO,
23:35:20.723,143.33,,,110,187,93.7,LAST_VALID,,,,,,,,,,READY,WAYPOINT_AUTO,
23:35:20.828,143.435,,,111,187,94.0,FRONT_CUSHION,,,,,,,,,,READY,WAYPOINT_AUTO,
23:35:20.928,143.535,,,111,187,94.0,FRONT_CUSHION,,,,,,,,,,READY,WAYPOINT_AUTO,
23:35:21.030,143.637,141,516,111,187,94.0,FRONT_CUSHION,33.06,-9.3,,,,,,,,READY,WAYPOINT_AUTO,
23:35:21.135,143.742,141,516,111,187,94.0,FRONT_CUSHION,33.06,-9.3,,,,,,,,READY,WAYPOINT_AUTO,
23:35:21.240,143.847,141,516,110,187,93.5,FRONT_CUSHION,33.01,-9.0,0.0,0.0,0.0,0.0,86.0,0,0,READY,REMOTE_DIRECT,0
23:35:21.345,143.952,141,516,110,187,94.0,FRONT_CUSHION,33.0,-9.4,0.22,0.7191,0.0,0.0,86.0,0,0,READY,REMOTE_DIRECT,0
23:35:21.450,144.057,141,516,110,187,94.0,LAST_VALID,33.0,-9.4,0.22,0.7542,0.22,0.719,111.9,42,0,MOVING,REMOTE_DIRECT,2
23:35:21.555,144.162,141,516,110,187,94.0,LAST_VALID,33.0,-9.4,0.22,0.7542,0.22,0.719,111.9,42,47,MOVING,REMOTE_DIRECT,2
23:35:21.660,144.268,141,516,110,187,94.0,LAST_VALID,33.0,-9.4,0.22,0.7542,0.22,0.719,111.9,42,47,MOVING,REMOTE_DIRECT,2
23:35:21.764,144.371,141,516,111,191,93.4,FRONT_CUSHION,32.58,-8.8,0.22,0.6203,0.22,0.754,113.1,43,170,MOVING,REMOTE_DIRECT,5
23:35:21.869,144.476,141,516,113,204,93.1,FRONT_CUSHION,31.29,-8.4,0.22,0.6261,0.22,0.754,113.1,43,170,MOVING,REMOTE_DIRECT,5
23:35:21.973,144.58,141,516,115,222,92.1,FRONT_CUSHION,29.52,-7.2,0.22,0.4184,0.22,0.62,108.3,38,311,MOVING,REMOTE_DIRECT,7
23:35:22.078,144.685,141,516,118,242,90.5,FRONT_CUSHION,27.52,-5.4,0.22,0.5733,0.22,0.62,108.3,38,311,MOVING,REMOTE_DIRECT,7
23:35:22.183,144.79,141,516,118,242,90.5,FRONT_CUSHION,27.52,-5.4,0.22,0.2134,0.22,0.626,108.5,39,441,MOVING,REMOTE_DIRECT,8
23:35:22.288,144.895,141,516,122,261,89.7,FRONT_CUSHION,25.56,-4.0,0.22,0.1397,0.22,0.626,108.5,39,441,MOVING,REMOTE_DIRECT,8
23:35:22.393,145.001,141,516,124,281,88.6,FRONT_CUSHION,23.55,-2.7,0.22,0.0554,0.22,0.213,93.7,23,546,MOVING,REMOTE_DIRECT,11
23:35:22.494,145.101,141,516,127,298,87.5,FRONT_CUSHION,21.79,-1.3,0.22,0.215,0.22,0.213,93.7,23,546,MOVING,REMOTE_DIRECT,11
23:35:22.599,145.206,141,516,127,298,87.5,FRONT_CUSHION,21.79,-1.3,0.22,-0.0791,0.22,0.213,93.7,23,546,MOVING,REMOTE_DIRECT,11
23:35:22.704,145.311,141,516,128,316,86.4,FRONT_CUSHION,20.04,-0.1,0.22,-0.1351,0.22,0.055,88.0,17,644,MOVING,REMOTE_DIRECT,13
23:35:22.809,145.416,141,516,130,330,85.6,FRONT_CUSHION,18.64,1.0,0.22,-0.2222,0.22,0.055,88.0,17,644,MOVING,REMOTE_DIRECT,13
23:35:22.913,145.52,141,516,131,343,85.3,FRONT_CUSHION,17.32,1.2,0.22,-0.0799,0.22,-0.079,83.2,18,751,MOVING,REMOTE_DIRECT,15
23:35:23.018,145.625,141,516,133,357,85.0,FRONT_CUSHION,15.86,2.1,0.22,-0.1263,0.22,-0.079,83.2,18,751,MOVING,REMOTE_DIRECT,15
23:35:23.123,145.73,141,516,135,375,85.4,FRONT_CUSHION,14.11,2.1,0.22,-0.2722,0.22,-0.08,83.1,18,865,MOVING,REMOTE_DIRECT,18
23:35:23.228,145.835,141,516,135,375,85.4,FRONT_CUSHION,14.11,2.1,0.22,-0.1629,0.22,-0.08,83.1,18,865,MOVING,REMOTE_DIRECT,18
23:35:23.333,145.94,141,516,136,389,84.9,FRONT_CUSHION,12.66,2.9,0.22,-0.165,0.22,-0.272,76.2,25,982,MOVING,REMOTE_DIRECT,20
23:35:23.436,146.043,141,516,138,401,85.5,FRONT_CUSHION,11.46,2.7,0.22,-0.3351,0.22,-0.272,76.2,25,982,MOVING,REMOTE_DIRECT,20
23:35:23.541,146.148,141,516,139,418,85.5,FRONT_CUSHION,9.77,3.2,0.22,-0.1899,0.22,-0.19,79.2,22,1105,MOVING,REMOTE_DIRECT,24
23:35:23.646,146.254,141,516,139,418,85.5,FRONT_CUSHION,9.77,3.2,0.0,0.0,0.0,0.0,86.0,0,1169,READY,REMOTE_DIRECT,25
23:35:23.747,146.354,141,516,140,435,86.3,FRONT_CUSHION,8.09,2.9,0.0,0.0,0.0,0.0,86.0,0,1180,READY,REMOTE_DIRECT,25
23:35:23.848,146.455,141,516,,,,,,,0.0,0.0,0.0,0.0,86.0,0,1180,READY,REMOTE_DIRECT,25
23:35:23.948,146.555,141,516,143,464,87.7,FRONT_CUSHION,5.21,3.9,0.0,0.0,0.0,0.0,86.0,0,1180,READY,REMOTE_DIRECT,25
23:35:24.052,146.659,141,516,143,469,88.3,FRONT_CUSHION,4.68,4.3,0.0,0.0,0.0,0.0,86.0,0,1185,READY,REMOTE_DIRECT,27
23:35:24.157,146.764,141,516,143,469,88.3,FRONT_CUSHION,4.68,4.3,0.0,0.0,0.0,0.0,86.0,0,1185,READY,REMOTE_DIRECT,27
23:35:24.261,146.868,141,516,143,469,88.6,FRONT_CUSHION,4.68,4.0,0.0,0.0,0.0,0.0,86.0,0,1185,READY,REMOTE_DIRECT,28
23:35:24.366,146.973,141,516,144,470,89.1,FRONT_CUSHION,4.62,4.3,0.0,0.0,0.0,0.0,86.0,0,1185,READY,REMOTE_DIRECT,28
23:35:24.471,147.078,141,516,143,468,88.6,FRONT_CUSHION,4.74,4.0,0.0,0.0,0.0,0.0,86.0,0,1185,READY,REMOTE_DIRECT,32
23:35:24.576,147.183,141,516,143,468,88.6,FRONT_CUSHION,4.74,4.0,0.0,0.0,0.0,0.0,86.0,0,1185,READY,REMOTE_DIRECT,32
